ADC,Support,Games,Win_Rate
Corki,Poppy,3,1.0
Ezreal,Neeko,2,1.0
Corki,Alistar,3,1.0
Varus,Braum,2,1.0
Varus,Poppy,2,1.0
Varus,Rakan,2,1.0
Kalista,Renata Glasc,2,1.0
Yunara,Bard,2,1.0
Yunara,Alistar,3,1.0
Corki,Leona,4,0.75
Yunara,Neeko,3,0.6666666666666666
Kai'Sa,Neeko,5,0.6
Caitlyn,Neeko,5,0.6
Caitlyn,Alistar,2,0.5
Sivir,Leona,2,0.5
Kai'Sa,Rell,2,0.5
Lucian,Braum,6,0.5
Jhin,Alistar,2,0.5
Vayne,Braum,2,0.5
Ziggs,Leona,2,0.5
Xayah,Rakan,6,0.5
Draven,Neeko,2,0.5
Yunara,Leona,2,0.5
Ezreal,Nautilus,2,0.5
Ezreal,Braum,2,0.5
Ezreal,Bard,2,0.5
Varus,Alistar,3,0.3333333333333333
Yunara,Rakan,3,0.3333333333333333
Sivir,Alistar,3,0.3333333333333333
Corki,Nami,3,0.3333333333333333
Kai'Sa,Rakan,4,0.25
Kai'Sa,Alistar,3,0.0
Sivir,Bard,2,0.0
Ezreal,Rell,2,0.0
Caitlyn,Bard,2,0.0
Draven,Nautilus,2,0.0
Corki,Rakan,3,0.0
