Jungle,Mid,Games,Win_Rate
Jarvan IV,Yone,3,1.0
Xin Zhao,LeBlanc,2,1.0
Xin Zhao,Taliyah,4,1.0
Wukong,Galio,3,0.6666666666666666
Wukong,Aurora,3,0.6666666666666666
Trundle,Orianna,3,0.6666666666666666
Wukong,Taliyah,5,0.6
Jarvan IV,Orianna,5,0.6
Xin Zhao,Orianna,7,0.5714285714285714
Xin Zhao,Azir,4,0.5
Pantheon,Cassiopeia,2,0.5
Pantheon,Taliyah,2,0.5
Jarvan IV,Galio,4,0.5
Xin Zhao,Anivia,2,0.5
Naafiri,Orianna,2,0.5
Qiyana,Azir,2,0.5
Qiyana,Ryze,6,0.5
Wukong,Akali,2,0.5
Wukong,Ryze,4,0.5
Vi,Aurora,5,0.4
Xin Zhao,Ryze,3,0.3333333333333333
Trundle,Cassiopeia,3,0.3333333333333333
Trundle,Azir,3,0.3333333333333333
Xin Zhao,Aurora,3,0.3333333333333333
Trundle,Ryze,3,0.3333333333333333
Vi,Taliyah,7,0.2857142857142857
Jarvan IV,Ryze,3,0.0
Qiyana,Aurora,2,0.0
Pantheon,Akali,2,0.0
